,Player,Team,ALL_TOI,ALL_xGF,ALL_xGA,EV_TOI,EV_xGF,EV_xGA,5v5_TOI,5v5_xGF,5v5_xGA,ALL_xGF/60,ALL_xGA/60,EV_xGF/60,EV_xGA/60,5v5_xGF/60,5v5_xGA/60,ALL_xGF%,EV_xGF%,5v5_xGF%
614,QUINN HUGHES,VAN,863.15,57.5437907503804,40.144441041856396,649.4666666666666,29.21909157733592,31.114984816026208,621.5166666666667,27.352085692731624,29.88368748579811,4.0000317963538485,2.790553742120586,2.6993617757752344,2.874511017698993,2.6405167062785617,2.8849125780717384,58.905550540380816,48.42883710829551,47.78844448805652
615,QUINTON BYFIELD,L.A,459.7166666666667,32.22008726605933,15.765266206868054,365.76666666666665,18.11569003269588,14.032610420428025,363.0833333333333,18.05213344898707,14.032610420428025,4.205210243911597,2.0576064367445523,2.9716797647728597,2.3018954485346255,2.983138876123638,2.318907391027812,67.14567036426526,56.35038175380605,56.2639163412345
616,RADEK FAKSA,DAL,348.8833333333333,12.685459849444236,19.107895192695175,276.8333333333333,10.778555615507207,9.18762368940386,275.2,10.778555615507207,9.18762368940386,2.1816106366980006,3.286123474595262,2.3361107896343136,1.991297127143522,2.349975788264653,2.0031156299572372,39.89972065744785,53.984067011038086,53.984067011038086
617,RADIM ZOHORNA,PIT,281.3833333333333,15.371684125836424,12.087878477954135,256.75,13.691784150852992,11.300356227018668,255.68333333333334,13.65646370422194,11.300356227018668,3.2777387225618155,2.577525470629325,3.199637970988041,2.6407843179011494,3.204697825122155,2.651801213562819,55.979348060389334,54.784359978130816,54.720367986976434
618,RADKO GUDAS,ANA,569.8833333333333,22.01331582747856,32.23683629789572,452.7,20.106912211470743,16.885307698385127,449.5,19.986297335648132,16.78076785615485,2.3176655157173345,3.3940458770047846,2.6649320359802178,2.237946679706445,2.667803871276725,2.2399245191752857,40.57742691044424,54.35443523115963,54.35924034563403
619,RAFAEL HARVEY-PINARD,MTL,171.53333333333333,6.255961745346656,9.79740079250578,132.11666666666667,5.5827414023740065,5.307583142166763,131.78333333333333,5.5827414023740065,5.307583142166763,2.188249347381263,3.4269960020424413,2.535368872025536,2.4104073813296765,2.541781845016621,2.416504276185702,38.969790475955676,51.263315244104355,51.263315244104355
620,RAPHAEL LAVOIE,EDM,45.56666666666666,1.6506419597629887,2.6823530272805187,44.3,1.6506419597629887,2.6823530272805187,44.3,1.6506419597629887,2.6823530272805187,2.173486121121712,3.5319937447731777,2.23563245114626,3.6329837841271133,2.23563245114626,3.6329837841271133,38.09471196478941,38.09471196478941,38.09471196478941
621,RASMUS ANDERSSON,CGY,737.9,40.577519098777145,39.623182645116266,554.7833333333333,23.607417024790198,26.83517629592583,526.85,21.983202534281336,25.64822768763,3.2994323701404373,3.2218335258259603,2.5531499170620577,2.902233144030192,2.5035439917564393,2.9209332091824995,50.594967645487934,46.80056172903978,46.152724014087354
622,RASMUS DAHLIN,BUF,856.0166666666667,50.050521841420526,41.62919550935177,681.0666666666666,32.475222181036465,34.971917060645765,662.7833333333333,31.08121503785316,33.81648780412926,3.5081458427428185,2.917877452418496,2.8609729799268617,3.0809245648572037,2.813699150961133,3.061316068470474,54.59279684504711,48.14914694108601,47.89262743788009
623,RASMUS KUPARI,WPG,135.38333333333333,4.054103830381202,6.8341180443995695,107.36666666666666,3.373189698577004,3.8451204620595587,106.31666666666666,3.0400273539108054,3.8451204620595587,1.7967221210602395,3.0287855422674443,1.8850485741814988,2.1487788983878318,1.7156448462265086,2.1700005742929003,37.23384660052979,46.73101631143447,44.153407234908535
624,RASMUS RISTOLAINEN,PHI,239.54999999999998,13.53965685802513,11.546311453040731,198.48333333333335,10.457207181322033,8.047837754227858,191.75,9.99851553078324,7.343323841901107,3.3912728511020993,2.892000363942575,3.161134087896492,2.432800060057124,3.12860981406516,2.297780602420164,53.9730286275318,56.51003398123492,57.65545001259903
625,RASMUS SANDIN,WSH,694.9333333333333,32.506867939960244,30.637708575230064,629.7666666666667,26.369335655510675,28.542863365371172,604.2666666666667,25.444636510893694,27.273887674089988,2.8066175312705512,2.645235774914338,2.512295780443509,2.7193751155278734,2.5264974470216597,2.7081309473390327,51.48006326741341,48.02090632990863,48.26507741683204
626,REESE JOHNSON,CHI,250.48333333333335,9.547161348860502,15.218390585378437,214.55,8.390198038908718,11.039214347084238,214.55,8.390198038908718,11.039214347084238,2.286897388774889,3.6453660328273583,2.3463616049150455,3.0871725044281253,2.3463616049150455,3.0871725044281253,38.550165868346085,43.182973690740006,43.182973690740006
627,REILLY SMITH,PIT,537.0833333333334,28.617996359440234,23.42735133209849,426.3,20.251117799949125,19.096282193406633,415.8666666666667,19.842792480553584,18.614860989723464,3.1970453652128734,2.6171750130505678,2.8502628852848875,2.6877244466441423,2.862858806107442,2.685696519838268,54.98665611584108,51.46748655150976,51.59647219737309
628,RICKARD RAKELL,PIT,319.81666666666666,22.064189675998968,11.54681918264372,273.18333333333334,13.447403276510162,10.773794800104508,268.76666666666665,13.297451774392508,10.48689567580065,4.139407099567267,2.16626968875488,2.953489829506228,2.3662779135120635,2.9685493233171916,2.3411152445046723,65.64572271184717,55.51914993624324,55.9084154073965
629,RIDLY GREIG,OTT,270.76666666666665,11.164803722587694,11.879117526702778,217.25,8.313650404382086,8.671477575822548,213.95,7.970450126254025,8.613888797137959,2.474042435141924,2.6323293793013667,2.296059950577331,2.3948844858428213,2.235227892382526,2.4156734182205075,48.45010361650781,48.94664564241879,48.060101539602606
630,RILEY NASH,NYR,11.083333333333334,0.4485130735655891,0.2397372144237195,11.083333333333334,0.4485130735655891,0.2397372144237195,11.083333333333334,0.4485130735655891,0.2397372144237195,2.428040699001685,1.297825521692316,2.428040699001685,1.297825521692316,2.428040699001685,1.297825521692316,65.1671465152451,65.1671465152451,65.1671465152451
631,RILEY TUFTE,COL,55.6,1.6449623307215786,3.4600730057413975,53.18333333333334,1.491344851860537,3.4600730057413975,52.833333333333336,1.491344851860537,3.4600730057413975,1.7751392058146531,3.7338917328144574,1.6824949754615899,3.903560896480423,1.693640841229632,3.9294204481605775,32.22234954912753,30.119551505249518,30.119551505249518
632,ROBBY FABBRI,DET,298.56666666666666,16.678390580679977,13.0291785700273,251.43333333333334,10.398570619348687,12.13308793171111,250.11666666666667,10.398570619348687,12.016163865670002,3.351691754518696,2.618345587367326,2.4814300828354288,2.895341147697202,2.494492851979428,2.882534145159726,56.14188928104505,46.150932900851984,46.391674308249186
633,ROBERT BORTUZZO,NYI,121.23333333333333,4.0107599236346845,8.12238779567292,101.63333333333333,3.909822718733483,4.605120408474654,101.2,3.909822718733483,4.605120408474654,1.9849787909107592,4.019878480124073,2.308193143233936,2.7186673451145884,2.3180767107115514,2.730308542573906,33.056219345721146,45.91719122867974,45.91719122867974
634,ROBERT BORTUZZO,STL,41.56666666666666,2.0325043842682056,2.8792803058249934,37.11666666666667,1.6208617686911706,1.8469666862185417,36.61666666666667,1.6208617686911706,1.8183152768821098,2.933847547460121,4.156138372481948,2.6201627154414973,2.9856668479509425,2.655940995579524,2.9794879366297655,41.380160420460925,46.73996392169782,47.129349469735935
635,ROBERT THOMAS,STL,666.9166666666666,45.71544962729528,32.785092304996965,462.3,26.85484765163385,21.481065516283877,446.4666666666667,25.61431132124698,21.157540049918484,4.112848148400925,2.949552225365215,3.4853793188363205,2.787938418726006,3.442269701227756,2.8433307518182223,58.235839526720035,55.55878826234398,54.764373379151785
636,ROBY JARVENTIE,OTT,54.016666666666666,1.3777212835392012,2.8487539247826463,50.35,1.3777212835392012,2.8487539247826463,50.35,1.3777212835392012,2.8487539247826463,1.530329102357644,3.1643055011470307,1.641773128348601,3.394741519105437,1.641773128348601,3.394741519105437,32.59740600930285,32.59740600930285,32.59740600930285
637,ROMAN JOSI,NSH,833.6999999999999,59.14097847984353,32.53681913996399,634.9666666666666,31.90534198654441,28.113185975486587,615.7666666666667,30.06800522889198,26.795188140544216,4.256277688365854,2.341620664984814,3.014836242100895,2.6565034781813144,2.9298115851245368,2.610909903804449,64.509597760086,53.15915446431544,52.877799235688805
638,ROOPE HINTZ,DAL,511.23333333333335,33.55043081822782,21.95201027848355,372.3833333333333,17.26485892760811,16.284877590072277,355.9666666666667,16.5891327869582,15.663577402987581,3.9375872382349915,2.576359033792162,2.7817881277979324,2.623889331077304,2.7961830711232096,2.640175983273494,60.44856794634885,51.46049036334368,51.43484900729233
639,ROSS COLTON,COL,453.8833333333333,23.646016438174318,20.188834006981295,386.0833333333333,18.358733521601742,18.003202797542453,376.81666666666666,18.124842676212722,17.234318832256374,3.1258274585035632,2.6688136608207933,2.8530731999899106,2.797821285178193,2.8859937916036005,2.74419690371635,53.943417618726116,50.48887760120754,51.25925475317486
640,ROSS JOHNSTON,ANA,174.36666666666667,4.498238060407563,7.652496180637211,158.48333333333332,4.282775712590563,7.285722004033863,157.48333333333332,4.282775712590563,7.285722004033863,1.547854809545711,2.6332428073307166,1.6214105127064917,2.758292061680714,1.631706272126789,2.7758068805716913,37.02029828956892,37.02101878307009,37.02101878307009
641,ROURKE CHARTIER,OTT,269.55,6.878093472485934,15.22502279402994,208.26666666666668,6.2709253455228575,8.365025815788991,207.61666666666667,6.2709253455228575,8.31701192536048,1.5310169109595846,3.3889867098564137,1.8066046129867386,2.409898602500029,1.8122606762368376,2.4035677074173343,31.118206996474946,42.84603901999344,42.98705998715291
642,RYAN CARPENTER,S.J,210.48333333333332,8.25746956740652,17.067134368492653,169.58333333333334,7.713243727998865,7.324248117259829,169.4,7.713243727998865,7.324248117259829,2.353859406339653,4.865126591699545,2.729010065925888,2.591380169251635,2.7319635400232105,2.5941846932443315,32.60651020765246,51.293419190985915,51.293419190985915
643,RYAN DONATO,CHI,441.5,20.915640099231762,20.850942302598476,369.9,14.345910687614026,17.890681674334935,369.3666666666667,14.345910687614026,17.890681674334935,2.842442595592085,2.8336501430484904,2.3269928122650487,2.901975940686932,2.3303527874474548,2.9061661414856856,50.07745162868588,44.50194526313357,44.50194526313357
644,RYAN GRAVES,PIT,651.6166666666667,29.366555816087164,37.45888299019456,555.75,28.23575369320751,27.734426846957053,549.4166666666666,28.06953290896327,27.406822278618343,2.704033581551367,3.4491643544185084,3.048394460805129,2.9942701049346345,3.065382025550365,2.9930095617480976,43.94517468297814,50.44785173230834,50.597291069415164
645,RYAN HARTMAN,MIN,427.48333333333335,21.080567258883253,19.874038590280605,346.78333333333336,14.371634858583992,14.024329648295755,340.9,13.966196524655432,13.798820043510329,2.9587914590034585,2.7894474999029266,2.4865615173212077,2.42647122285119,2.4581161381030388,2.428657091846934,51.47300730111566,50.61153973164759,50.30141613770368
646,RYAN JOHANSEN,COL,482.7,29.51920500890907,21.547696783957758,367.43333333333334,14.209775684085677,17.454360630866933,359.15,13.994468135867812,16.69045802955851,3.6692610328041106,2.6783961198207282,2.320384308387392,2.850208576209787,2.3379314719534143,2.7883265537338455,57.804965589340675,44.87656174400519,45.60697998887748
647,RYAN JOHNSON,BUF,265.48333333333335,12.588560835917955,12.37394787207265,256.8833333333333,12.210063454007546,11.669247152843358,252.93333333333334,12.210063454007546,11.643284805825727,2.84505110234821,2.796547952756704,2.8518931054581955,2.725575147617991,2.896430445072955,2.7619811083930297,50.429870583834,51.13239513080631,51.18804840730938
648,RYAN LINDGREN,NYR,608.4499999999999,18.432609759463745,35.26183542906528,492.81666666666666,17.441304544143097,22.267782735615988,490.2,17.372331285398623,22.23442100072216,1.817662232833963,3.4772127960291184,2.123463639585889,2.7110831562858926,2.1263563384820836,2.721471358717523,34.328708853856604,43.92270318696912,43.862044430960154
649,RYAN LOMBERG,FLA,310.01666666666665,11.195480728296834,11.284105076977475,281.3,10.826339283989142,9.880534579131576,279.8,10.826339283989142,9.880534579131576,2.1667507457592925,2.183902923343848,2.3092085212916764,2.1074727150653914,2.321588123800388,2.118770817540724,49.80287815476598,52.283794046145374,52.283794046145374
