,Date,Game_Id,Team,EV_xGF,EV_xGA,EV_GF,EV_GA,EV_TOI,5v5_xGF,5v5_xGA,5v5_GF,5v5_GA,5v5_TOI,ALL_xGF,ALL_xGA,ALL_GF,ALL_GA,ALL_TOI
97,2023-10-18,20050,PIT,2.234257925424892,1.310878572954726,3,3,55.85,2.2283741215405315,1.2604766533221243,3,3,51.25,4.055509940913749,2.2173271651601514,3,4,60.0
98,2023-10-18,20049,OTT,1.7222751853934808,1.8058944737382825,5,1,50.95,1.7222751853934808,1.8058944737382825,5,1,46.95,2.873839595874829,2.757028556221992,6,1,60.0
99,2023-10-18,20049,WSH,1.8058944737382825,1.7222751853934808,1,5,50.95,1.8058944737382825,1.7222751853934808,1,5,46.95,2.757028556221992,2.873839595874829,1,6,60.0
100,2023-10-19,20052,FLA,1.0494468010290916,1.7062833494580811,2,0,43.4,1.0040155193120293,1.7062833494580811,2,0,36.85,2.3409526235081497,3.037272264183817,2,1,60.0
101,2023-10-19,20052,TOR,1.7062833494580811,1.0494468010290916,0,2,43.4,1.7062833494580811,1.0040155193120293,0,2,36.85,3.037272264183817,2.3409526235081497,1,2,60.0
102,2023-10-19,20057,STL,1.3445194991381595,2.191232060883213,2,3,56.41666666666666,1.3445194991381595,2.191232060883213,2,3,51.9,1.7833572473839194,3.230079974283857,2,6,60.0
103,2023-10-19,20057,ARI,2.191232060883213,1.3445194991381595,3,2,56.41666666666666,2.191232060883213,1.3445194991381595,3,2,51.9,3.230079974283857,1.7833572473839194,6,2,60.0
104,2023-10-19,20051,BUF,1.5158688641001608,1.889306991075056,2,4,50.86666666666667,1.5158688641001608,1.889306991075056,2,4,49.43333333333333,2.341677370059046,3.478472154430281,3,4,60.0
105,2023-10-19,20051,CGY,1.889306991075056,1.5158688641001608,4,2,50.86666666666667,1.889306991075056,1.5158688641001608,4,2,49.43333333333333,3.478472154430281,2.341677370059046,4,3,60.0
106,2023-10-19,20060,SEA,2.205051295895303,2.206262060019569,3,3,52.0,2.205051295895303,2.206262060019569,3,3,52.0,2.8605240718446416,2.8266116568199093,6,4,60.0
107,2023-10-19,20060,CAR,2.206262060019569,2.205051295895303,3,3,52.0,2.206262060019569,2.205051295895303,3,3,52.0,2.8266116568199093,2.8605240718446416,4,6,60.0
108,2023-10-19,20058,WPG,3.4975668449136923,1.994863905115245,2,2,54.16666666666666,3.4975668449136923,1.994863905115245,2,2,52.0,4.2143319341232255,2.369736018992364,3,4,60.0
109,2023-10-19,20058,VGK,1.994863905115245,3.4975668449136923,2,2,54.16666666666666,1.994863905115245,3.4975668449136923,2,2,52.0,2.369736018992364,4.2143319341232255,4,3,60.0
110,2023-10-19,20056,MIN,1.810757195209952,1.521123729161325,3,5,42.75,1.810757195209952,1.521123729161325,3,5,42.65,2.4849757080061856,1.5937491473409893,3,5,60.0
111,2023-10-19,20056,L.A,1.521123729161325,1.810757195209952,5,3,42.75,1.521123729161325,1.810757195209952,5,3,42.65,1.5937491473409893,2.4849757080061856,5,3,60.0
112,2023-10-19,20062,S.J,1.2007734513357224,4.186826347758991,1,3,47.6,1.2007734513357224,4.186826347758991,1,3,45.73333333333333,2.3680383681887003,5.164281455124353,1,3,60.0
113,2023-10-19,20062,BOS,4.186826347758991,1.2007734513357224,3,1,47.6,4.186826347758991,1.2007734513357224,3,1,45.73333333333333,5.164281455124353,2.3680383681887003,3,1,60.0
114,2023-10-19,20054,PHI,2.4582157535482434,1.7401736863039623,3,1,47.91666666666666,2.4582157535482434,1.7401736863039623,3,1,46.0,3.1291731477969007,2.2323800613150646,4,1,60.0
115,2023-10-19,20054,EDM,1.7401736863039623,2.4582157535482434,1,3,47.91666666666666,1.7401736863039623,2.4582157535482434,1,3,46.0,2.2323800613150646,3.1291731477969007,1,4,60.0
116,2023-10-19,20059,ANA,1.960955474083817,2.506233818600869,2,1,48.6,1.960955474083817,2.423869931988694,2,1,45.45,2.862216697724497,3.063071130375059,2,3,60.0
117,2023-10-19,20059,DAL,2.506233818600869,1.960955474083817,1,2,48.6,2.423869931988694,1.960955474083817,1,2,45.45,3.063071130375059,2.862216697724497,3,2,60.0
118,2023-10-19,20055,T.B,2.599916154338344,1.411153159810051,2,2,41.98333333333333,2.599916154338344,1.411153159810051,2,2,41.98333333333333,4.568039221604904,2.280208345915397,4,3,60.0
119,2023-10-19,20055,VAN,1.411153159810051,2.599916154338344,2,2,41.98333333333333,1.411153159810051,2.599916154338344,2,2,41.98333333333333,2.280208345915397,4.568039221604904,3,4,60.0
120,2023-10-19,20053,NYR,1.2396973065015384,2.881250577517231,0,2,53.21666666666667,1.2396973065015384,2.881250577517231,0,2,53.21666666666667,2.220515051208875,3.8154823974590735,1,4,60.0
121,2023-10-19,20053,NSH,2.881250577517231,1.2396973065015384,2,0,53.21666666666667,2.881250577517231,1.2396973065015384,2,0,53.21666666666667,3.8154823974590735,2.220515051208875,4,1,60.0
122,2023-10-19,20061,COL,2.182399715093924,1.576169123696151,2,0,46.1,2.182399715093924,1.576169123696151,2,0,41.0,4.343271762023762,2.106535502816885,4,0,60.0
123,2023-10-19,20061,CHI,1.576169123696151,2.182399715093924,0,2,46.1,1.576169123696151,2.182399715093924,0,2,41.0,2.106535502816885,4.343271762023762,0,4,60.0
124,2023-10-20,20064,NYI,2.618075327374682,2.553865219643055,3,1,49.86666666666667,2.1346739605021803,2.370967575671881,3,0,47.333333333333336,3.5682962770300204,3.277751093835513,4,5,62.31666666666667
125,2023-10-20,20064,N.J,2.553865219643055,2.618075327374682,1,3,49.86666666666667,2.370967575671881,2.1346739605021803,0,3,47.333333333333336,3.277751093835513,3.5682962770300204,5,4,62.31666666666667
